"","model_S$FREQUENCY","V2","V3"
"681",2,38.85,-84.59
"682",2,38.85,-84.59
"683",2,39.17,-94.69
"684",2,39,-93.73
"685",2,38.74,-78.66
"686",2,39.11,-75.97
"687",2,39.48,-77.37
"688",2,39.27,-76.55
"689",2,39.06,-78.14
"690",2,39.27,-76.55
"691",2,39.58,-75.01
"692",2,39.57,-77.36
"693",2,38.87,-99.41
"694",2,39.44,-77.45
"695",2,39.04,-94.27
"696",2,39.11,-77.23
"697",2,39.02,-76.91
"698",2,38.99,-84.61
"699",2,39.57,-77.31
"700",2,39.28,-75.62
"701",2,38.83,-90.68
"702",2,39.46,-87.21
"703",2,38.54,-76.69
"704",2,39.02,-76.76
"705",2,39.38,-74.45
"706",2,39.5,-76.15
"707",2,39.49,-76.15
"708",2,39.08,-83.81
"709",2,38.87,-77.01
"710",2,38.95,-76.3
"711",2,38.5,-85.69
"712",2,39.54,-87.97
"713",2,39.15,-77.32
"714",2,38.85,-77.01
"715",2,38.66,-85.79
"716",2,39.31,-101.07
"717",2,39.31,-101.07
"718",2,38.88,-76.77
"719",2,39.04,-76.05
"720",2,39.13,-77.22
"721",2,39.45,-76.32
"722",2,38.77,-76.97
"723",2,38.89,-76.91
"724",2,39.35,-75.85
"725",2,38.59,-76.14
"726",2,39.14,-76.5
"727",2,39.23,-76.47
"728",2,38.96,-92.38
"729",2,39.37,-74.44
"730",2,39.41,-75.22
"731",2,39.08,-83.91
"732",2,39.56,-81.65
"733",2,39.53,-81.52
"734",2,39.47,-81.49
"735",2,39.56,-80.05
"736",2,39.62,-79.97
"737",2,39.07,-88.76
"738",2,38.67,-88.46
"739",2,39.58,-89.58
"740",2,39.44,-86.16
"741",2,38.6,-85.78
"742",2,38.82,-86.88
"743",2,38.56,-97.35
"744",2,38.66,-121.79
"745",2,38.94,-122.62
"746",2,38.6,-121.39
"747",2,39.23,-121.05
"748",2,39.14,-121.62
"749",2,38.91,-77.08
"750",2,39.13,-97.7
"751",2,38.94,-92.33
"752",2,38.66,-78.47
"753",2,39.56,-85.79
"754",2,39.3,-76.59
"755",2,39.29,-76.61
"756",2,39.35,-76.66
"757",2,39.29,-76.62
"758",2,39.29,-76.55
"759",2,38.51,-82.69
"760",2,39.62,-77.68
"761",2,39.01,-77.04
"762",2,38.73,-76.99
"763",2,38.99,-76.53
"764",2,39.61,-90.82
"765",2,39.61,-75.83
"766",2,39.3,-77.86
"767",2,38.92,-81.09
"768",2,38.87,-82.12
"769",2,39.47,-79.69
"770",2,39.04,-80.5
"771",2,39.06,-94.61
"772",2,38.99,-80.24
"773",2,39.48,-77.98
"774",2,39.13,-88.55
"775",2,38.64,-83.81
"776",2,39.02,-84.63
"777",2,38.55,-76.06
"778",2,39.04,-84.59
"779",2,39.18,-89.64
"780",2,39.61,-87.68
"781",2,39.5,-96.17
"782",2,38.53,-89.12
"783",2,38.89,-90.17
"784",2,39.1,-77.2
"785",2,39.06,-94.53
"786",2,38.63,-122.86
"787",2,38.73,-121.29
"788",2,39.22,-94.59
"789",2,39.05,-94.35
"790",2,38.92,-94.48
"791",2,39.01,-94.56
"792",2,39.01,-94.56
"793",2,38.98,-94.39
"794",2,38.82,-94.5
"795",2,38.65,-90.5
"796",2,38.68,-90.47
"797",2,38.68,-90.53
"798",2,38.71,-90.42
"799",2,38.78,-90.24
"800",2,38.78,-90.48
"801",2,38.82,-90.88
"802",2,38.8,-90.78
